Goal,Amount,Pounds,Meal Time,Weight Range,Suggestion,Calories
gain_weight,More weight,15.0,Breakfast,0-99 lb,Meal Suggestion 1,600
gain_weight,More weight,15.0,Breakfast,100-150 lb,Meal Suggestion 2,600
gain_weight,More weight,15.0,Breakfast,151-200 lb,Meal Suggestion 3,600
gain_weight,More weight,15.0,Breakfast,201-250 lb,Meal Suggestion 4,600
gain_weight,More weight,15.0,Breakfast,251-300 lb,Meal Suggestion 5,600
gain_weight,More weight,15.0,Lunch,0-99 lb,Meal Suggestion 6,700
gain_weight,More weight,15.0,Lunch,100-150 lb,Meal Suggestion 7,700
gain_weight,More weight,15.0,Lunch,151-200 lb,Meal Suggestion 8,700
gain_weight,More weight,15.0,Lunch,201-250 lb,Meal Suggestion 9,700
gain_weight,More weight,15.0,Lunch,251-300 lb,Meal Suggestion 10,700
gain_weight,More weight,15.0,Dinner,0-99 lb,Meal Suggestion 11,700
gain_weight,More weight,15.0,Dinner,100-150 lb,Meal Suggestion 12,700
gain_weight,More weight,15.0,Dinner,151-200 lb,Meal Suggestion 13,700
gain_weight,More weight,15.0,Dinner,201-250 lb,Meal Suggestion 14,700
gain_weight,More weight,15.0,Dinner,251-300 lb,Meal Suggestion 15,700
gain_weight,More weight,20.0,Breakfast,0-99 lb,Meal Suggestion 16,650
gain_weight,More weight,20.0,Breakfast,100-150 lb,Meal Suggestion 17,650
gain_weight,More weight,20.0,Breakfast,151-200 lb,Meal Suggestion 18,650
gain_weight,More weight,20.0,Breakfast,201-250 lb,Meal Suggestion 19,650
gain_weight,More weight,20.0,Breakfast,251-300 lb,Meal Suggestion 20,650
gain_weight,More weight,20.0,Lunch,0-99 lb,Meal Suggestion 21,750
gain_weight,More weight,20.0,Lunch,100-150 lb,Meal Suggestion 22,750
gain_weight,More weight,20.0,Lunch,151-200 lb,Meal Suggestion 23,750
gain_weight,More weight,20.0,Lunch,201-250 lb,Meal Suggestion 24,750
gain_weight,More weight,20.0,Lunch,251-300 lb,Meal Suggestion 25,750
